Time,Time (s),Angle x,Angle y
9:53:00,35580,83.1,328.5
10:03:00,36180,81.5,329.9
10:11:00,36660,80,331.2
10:20:00,37200,78.5,333.5
10:29:00,37740,76,334.5
10:38:00,38280,74.5,336
10:48:00,38880,74,338.7
11:00:00,39600,71,339.8
11:07:00,40020,69,341.9
11:17:00,40620,68.8,343
11:28:00,41280,65.8,345
11:39:00,41940,63.1,347
11:49:00,42540,60.5,348.5
12:05:00,43500,58.5,351.2
12:19:00,44340,57.5,334
12:31:00,45060,54.5,356
12:41:00,45660,52.5,357.9
12:57:00,46620,38.5,354
