Time,Time (s),Angle x,Angle y
9:49:00,35340,360,320
9:58:00,35880,355,322
10:06:00,36360,354.5,323.5
10:28:00,37680,351.8,326.5
10:36:00,38160,347.5,328
10:46:00,38760,348.5,330
11:00:00,39600,346,331.5
11:08:00,40080,345,333
11:17:00,40620,345,335.5
11:25:00,41100,340,337
11:35:00,41700,340.8,338
11:46:00,42360,336,340
12:24:00,44640,335,346
12:32:00,45120,333.5,349
12:40:00,45600,333.5,350
12:47:00,46020,334,351
12:54:00,46440,328.5,352.5
