Time,Time (s),Angle,Length
3:19:00,11940,360,1.182
3:25:00,12300,358,1.19
3:30:00,12600,357.5,1.23
3:35:00,12900,355.1,1.258
3:40:00,13200,353.5,1.29
3:45:00,13500,352,1.315
3:50:00,13800,350.9,1.332
3:55:00,14100,349,1.384
4:00:00,14400,347.5,1.428
4:07:00,14820,346.5,1.464
4:13:00,15180,345,1.506
4:17:00,15420,344.2,1.544
4:23:00,15780,342,1.574
4:26:00,15960,342,1.61
4:32:00,16320,341,1.646
