Time,Time (s),Angle,Length
9:17:00,33420,351,3.226
9:21:00,33660,352,3.114
9:29:00,34140,346,2.87
9:34:00,34440,344.5,2.72
9:39:00,34740,343.5,2.634
9:43:00,34980,342.8,2.56
9:47:00,35220,342,2.49
9:50:00,35400,341.4,2.418
9:54:00,35640,340.5,2.338
9:58:00,35880,339,2.274
10:01:00,36060,338.5,2.218
10:05:00,36300,337.5,2.16
10:12:00,36720,336,2.05
10:17:00,37020,334.9,2
10:21:00,37260,333.5,1.936
10:27:00,37620,332.2,1.878
10:31:00,37860,331.4,1.828
10:35:00,38100,330.4,1.761
10:39:00,38340,329.5,1.76
10:45:00,38700,328.2,1.692
10:50:00,39000,327,1.651
10:54:00,39240,325.9,1.616
